team,fifa_rank,fifa_points,major_trophies
Mexico,14,1687.48,7
South Africa,60,1428.38,0
South Korea,25,1591.63,0
Czechia,40,1505.74,0
Switzerland,19,1650.06,0
Canada,30,1559.48,1
Bosnia and Herzegovina,64,1387.00,0
Qatar,56,1438.82,2
Brazil,6,1765.86,3
Morocco,7,1755.10,1
Scotland,42,1503.34,0
Haiti,83,1293.10,0
USA,17,1671.23,6
Australia,27,1579.34,3
Paraguay,41,1505.35,0
Turkiye,22,1605.73,0
Germany,10,1735.77,0
Ivory Coast,33,1540.87,2
Ecuador,23,1598.52,0
Curacao,82,1294.77,0
Netherlands,8,1753.57,0
Japan,18,1661.58,3
Sweden,38,1509.79,0
Tunisia,45,1476.41,1
Belgium,9,1742.24,0
Egypt,29,1562.37,3
Iran,20,1619.58,0
New Zealand,85,1275.58,4
Spain,2,1874.71,3
Cape Verde,67,1371.11,0
Uruguay,16,1673.07,1
Saudi Arabia,61,1423.88,0
France,3,1870.70,1
Norway,31,1557.44,0
Senegal,15,1684.07,1
Iraq,57,1436.28,1
Argentina,1,1877.27,2
Austria,24,1597.40,0
Algeria,28,1571.03,1
Jordan,63,1387.74,0
Colombia,13,1698.35,1
Portugal,5,1767.85,1
DR Congo,46,1474.43,0
Uzbekistan,50,1458.73,0
England,4,1828.02,0
Croatia,11,1714.87,0
Ghana,73,1346.88,0
Panama,34,1539.16,0
