team,wc_titles
Mexico,0
South Africa,0
South Korea,0
Czechia,0
Switzerland,0
Canada,0
Bosnia and Herzegovina,0
Qatar,0
Brazil,5
Morocco,0
Scotland,0
Haiti,0
USA,0
Australia,0
Paraguay,0
Turkiye,0
Germany,4
Ivory Coast,0
Ecuador,0
Curacao,0
Netherlands,0
Japan,0
Sweden,0
Tunisia,0
Belgium,0
Egypt,0
Iran,0
New Zealand,0
Spain,1
Cape Verde,0
Uruguay,2
Saudi Arabia,0
France,2
Norway,0
Senegal,0
Iraq,0
Argentina,3
Austria,0
Algeria,0
Jordan,0
Colombia,0
Portugal,0
DR Congo,0
Uzbekistan,0
England,1
Croatia,0
Ghana,0
Panama,0
