date,stage,team_a,team_b,score_a,score_b,went_to_et,went_to_pens,winner
2026-06-11,Group,Mexico,South Africa,2,0,False,False,Mexico
2026-06-11,Group,South Korea,Czechia,2,1,False,False,South Korea
2026-06-18,Group,Czechia,South Africa,1,1,False,False,draw
2026-06-18,Group,Mexico,South Korea,1,0,False,False,Mexico
2026-06-24,Group,Mexico,Czechia,3,0,False,False,Mexico
2026-06-24,Group,South Africa,South Korea,1,0,False,False,South Africa
2026-06-12,Group,Canada,Bosnia and Herzegovina,1,1,False,False,draw
2026-06-13,Group,Switzerland,Qatar,1,1,False,False,draw
2026-06-18,Group,Switzerland,Bosnia and Herzegovina,4,1,False,False,Switzerland
2026-06-18,Group,Canada,Qatar,6,0,False,False,Canada
2026-06-24,Group,Switzerland,Canada,3,1,False,False,Switzerland
2026-06-24,Group,Bosnia and Herzegovina,Qatar,3,1,False,False,Bosnia and Herzegovina
2026-06-13,Group,Brazil,Morocco,1,1,False,False,draw
2026-06-13,Group,Scotland,Haiti,1,0,False,False,Scotland
2026-06-19,Group,Scotland,Morocco,0,1,False,False,Morocco
2026-06-19,Group,Brazil,Haiti,3,0,False,False,Brazil
2026-06-24,Group,Scotland,Brazil,0,3,False,False,Brazil
2026-06-24,Group,Morocco,Haiti,4,2,False,False,Morocco
2026-06-12,Group,USA,Paraguay,4,1,False,False,USA
2026-06-13,Group,Australia,Turkiye,2,0,False,False,Australia
2026-06-19,Group,USA,Australia,2,0,False,False,USA
2026-06-19,Group,Turkiye,Paraguay,0,1,False,False,Paraguay
2026-06-25,Group,Turkiye,USA,3,2,False,False,Turkiye
2026-06-25,Group,Paraguay,Australia,0,0,False,False,draw
2026-06-14,Group,Germany,Curacao,7,1,False,False,Germany
2026-06-14,Group,Ivory Coast,Ecuador,1,0,False,False,Ivory Coast
2026-06-20,Group,Curacao,Ecuador,0,0,False,False,draw
2026-06-20,Group,Germany,Ivory Coast,2,1,False,False,Germany
2026-06-25,Group,Ecuador,Germany,2,1,False,False,Ecuador
2026-06-25,Group,Ivory Coast,Curacao,2,0,False,False,Ivory Coast
2026-06-14,Group,Netherlands,Japan,2,2,False,False,draw
2026-06-14,Group,Sweden,Tunisia,5,1,False,False,Sweden
2026-06-20,Group,Netherlands,Sweden,5,1,False,False,Netherlands
2026-06-20,Group,Japan,Tunisia,4,0,False,False,Japan
2026-06-25,Group,Japan,Sweden,1,1,False,False,draw
2026-06-25,Group,Netherlands,Tunisia,3,1,False,False,Netherlands
2026-06-15,Group,Belgium,Egypt,1,1,False,False,draw
2026-06-15,Group,Iran,New Zealand,2,2,False,False,draw
2026-06-21,Group,Belgium,Iran,0,0,False,False,draw
2026-06-21,Group,Egypt,New Zealand,3,1,False,False,Egypt
2026-06-26,Group,Egypt,Iran,1,1,False,False,draw
2026-06-26,Group,Belgium,New Zealand,5,1,False,False,Belgium
2026-06-15,Group,Spain,Cape Verde,0,0,False,False,draw
2026-06-15,Group,Saudi Arabia,Uruguay,1,1,False,False,draw
2026-06-21,Group,Spain,Saudi Arabia,4,0,False,False,Spain
2026-06-21,Group,Cape Verde,Uruguay,2,2,False,False,draw
2026-06-26,Group,Spain,Uruguay,1,0,False,False,Spain
2026-06-26,Group,Cape Verde,Saudi Arabia,0,0,False,False,draw
2026-06-16,Group,France,Senegal,3,1,False,False,France
2026-06-16,Group,Norway,Iraq,4,1,False,False,Norway
2026-06-22,Group,France,Iraq,3,0,False,False,France
2026-06-22,Group,Norway,Senegal,3,2,False,False,Norway
2026-06-26,Group,France,Norway,4,1,False,False,France
2026-06-26,Group,Senegal,Iraq,5,0,False,False,Senegal
2026-06-16,Group,Argentina,Algeria,3,0,False,False,Argentina
